Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Trial,,,2019-05-06 15:59:33,2019-05-06 16:00:24,50.233s,PASSED
,,,,,,
Test Cases/trial1,,,2019-05-06 15:59:39,2019-05-06 16:00:03,24.397s,PASSED
"name = ""hello dhanu""",,,2019-05-06 15:59:56,2019-05-06 16:00:03,6.622s,PASSED
,,,,,,
Test Cases/trial 2,,,2019-05-06 16:00:03,2019-05-06 16:00:22,18.611s,PASSED
"print(name = ""hello dhanu"")",,,2019-05-06 16:00:20,2019-05-06 16:00:20,0.054s,PASSED
"comment(""heyy commenting"")",,,2019-05-06 16:00:20,2019-05-06 16:00:22,1.668s,PASSED
